Time,Trading Price - $/MWh,Temperature - C,Solar (Rooftop) - MW,Solar (Utility) - MW,Wind - MW,Gas (Reciprocating) - MW,Gas (OCGT) - MW,Gas (CCGT) - MW,Gas (Steam) - MW,Hydro - MW,Battery (Discharging) - MW,Distillate - MW,Biomass - MW,Brown Coal - MW,Black Coal - MW,Imports - MW,Exports - MW,Battery (Charging) - MW,Pumps - MW
2018-05-04 05:40,32.32,,0,0,1196.83,0,0,139.79,192.85,0,0,0.02,0,0,0,0,-345.93,0,0
2018-05-04 05:45,32.32,,0,0,1197.68,0,0,141.16,222.4,0,0,0.02,0,0,0,0,-316.87,0,0
2018-05-04 05:50,32.32,,0,0,1204.54,0,0,139.46,212.48,0,0,0.02,0,0,0,0,-314.43,0,0
2018-05-04 05:55,32.32,,0,0,1200.72,0,0,139.75,225.6,0,0,0.02,0,0,0,0,-295.36,0,0
2018-05-04 06:00,47.45,13.9,0,0,1188.53,0,0,140.91,201.4,0,0,0.02,0,0,0,0,-311.12,0,0
2018-05-04 06:05,47.45,,0,0,1182.23,0,0,141.64,213.66,0,1.8,0.02,0,0,0,0,-298.23,0,0
2018-05-04 06:10,47.45,,0,0,1196.51,0,0,141.04,199.36,0,0.7,0.02,0,0,0,0,-283.99,0,0
2018-05-04 06:15,47.45,,0,0,1184.56,0,0,141.16,203.49,0,0.8,0.02,0,0,0,0,-284.52,0,0
2018-05-04 06:20,47.45,,0,0,1190.02,0,0,141.51,213.32,0,3.4,0.02,0,0,0,0,-256.27,0,0
2018-05-04 06:25,47.45,,0,0,1193.4,0,0,139.86,196.87,0,2.1,0.02,0,0,0,0,-265.14,0,0
2018-05-04 06:30,59.16,14.3,0,0,1185.88,0,0,140.51,245.03,0,7.6,0.02,0,0,0,0,-239.41,0,0
2018-05-04 06:35,59.16,,0,0,1186.51,0,0,141.12,248.01,0,10.8,0.02,0,0,0,0,-215.97,0,0
2018-05-04 06:40,59.16,,0,0,1163.54,0,0,139.61,216.18,0,5.8,0.02,0,0,0,0,-209.2,0,0
2018-05-04 06:45,59.16,,0,0,1155.51,0,0,141.37,201.22,0,0,0.02,0,0,0,0,-217.11,0,0
2018-05-04 06:50,59.16,,0,0,1170.75,0,0,139.56,199.17,0,0,0.02,0,0,0,0,-201.33,0,0
2018-05-04 06:55,59.16,,0,0,1145.4,0,0,140.76,240.02,0,9.9,0.02,0,0,0,0,-186.66,0,0
2018-05-04 07:00,64.81,12.2,0.18,0,1174.13,0,0,140.59,221.77,0,5.9,0.02,0,0,0,0,-176,0,0
2018-05-04 07:05,64.81,,0.18,0,1169.41,0,0,140.34,210.06,0,2.6,0.02,0,0,0,0,-159.87,0,0
2018-05-04 07:10,64.81,,0.18,0,1179.82,0,0,140.34,230.82,0,2.5,0.02,0,0,0,0,-151.66,0,0
